
Feature reduction based on permutation importance ...
[155]	validation_0-rmse:0.10950	validation_1-rmse:0.10950
[156]	validation_0-rmse:0.10929	validation_1-rmse:0.10929
[157]	validation_0-rmse:0.10918	validation_1-rmse:0.10918
[158]	validation_0-rmse:0.10906	validation_1-rmse:0.10906
[159]	validation_0-rmse:0.10884	validation_1-rmse:0.10884
[160]	validation_0-rmse:0.10876	validation_1-rmse:0.10876
[161]	validation_0-rmse:0.10863	validation_1-rmse:0.10863
[162]	validation_0-rmse:0.10847	validation_1-rmse:0.10847
[163]	validation_0-rmse:0.10840	validation_1-rmse:0.10840
[164]	validation_0-rmse:0.10823	validation_1-rmse:0.10823
[165]	validation_0-rmse:0.10811	validation_1-rmse:0.10811
[166]	validation_0-rmse:0.10801	validation_1-rmse:0.10801
[167]	validation_0-rmse:0.10788	validation_1-rmse:0.10788
[168]	validation_0-rmse:0.10778	validation_1-rmse:0.10778
[169]	validation_0-rmse:0.10772	validation_1-rmse:0.10772
[170]	validation_0-rmse:0.10762	validation_1-rmse:0.10762
[171]	validation_0-rmse:0.10745	validation_1-rmse:0.10745
[172]	validation_0-rmse:0.10727	validation_1-rmse:0.10727
[173]	validation_0-rmse:0.10708	validation_1-rmse:0.10708
[174]	validation_0-rmse:0.10703	validation_1-rmse:0.10703
[175]	validation_0-rmse:0.10690	validation_1-rmse:0.10690
[176]	validation_0-rmse:0.10671	validation_1-rmse:0.10671
[177]	validation_0-rmse:0.10660	validation_1-rmse:0.10660
[178]	validation_0-rmse:0.10649	validation_1-rmse:0.10649
[179]	validation_0-rmse:0.10641	validation_1-rmse:0.10641
[180]	validation_0-rmse:0.10629	validation_1-rmse:0.10629
[181]	validation_0-rmse:0.10623	validation_1-rmse:0.10623
[182]	validation_0-rmse:0.10609	validation_1-rmse:0.10609
[183]	validation_0-rmse:0.10601	validation_1-rmse:0.10601
[184]	validation_0-rmse:0.10589	validation_1-rmse:0.10589
[185]	validation_0-rmse:0.10582	validation_1-rmse:0.10582
[186]	validation_0-rmse:0.10576	validation_1-rmse:0.10576
[187]	validation_0-rmse:0.10569	validation_1-rmse:0.10569
[188]	validation_0-rmse:0.10561	validation_1-rmse:0.10561
[189]	validation_0-rmse:0.10555	validation_1-rmse:0.10555
[190]	validation_0-rmse:0.10545	validation_1-rmse:0.10545
[191]	validation_0-rmse:0.10543	validation_1-rmse:0.10543
[192]	validation_0-rmse:0.10521	validation_1-rmse:0.10521
[193]	validation_0-rmse:0.10513	validation_1-rmse:0.10513
