
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:15:00 ...
>>> Fitting model to training data ...
[134]	validation_0-rmse:0.11297	validation_1-rmse:0.11948
[135]	validation_0-rmse:0.11292	validation_1-rmse:0.11943
[136]	validation_0-rmse:0.11280	validation_1-rmse:0.11932
[137]	validation_0-rmse:0.11275	validation_1-rmse:0.11926
[138]	validation_0-rmse:0.11262	validation_1-rmse:0.11918
[139]	validation_0-rmse:0.11250	validation_1-rmse:0.11907
[140]	validation_0-rmse:0.11240	validation_1-rmse:0.11900
[141]	validation_0-rmse:0.11226	validation_1-rmse:0.11894
[142]	validation_0-rmse:0.11208	validation_1-rmse:0.11878
[143]	validation_0-rmse:0.11175	validation_1-rmse:0.11851
[144]	validation_0-rmse:0.11165	validation_1-rmse:0.11843
[145]	validation_0-rmse:0.11156	validation_1-rmse:0.11840
[146]	validation_0-rmse:0.11135	validation_1-rmse:0.11821
[147]	validation_0-rmse:0.11127	validation_1-rmse:0.11814
[148]	validation_0-rmse:0.11114	validation_1-rmse:0.11810
[149]	validation_0-rmse:0.11102	validation_1-rmse:0.11797
[150]	validation_0-rmse:0.11095	validation_1-rmse:0.11791
[151]	validation_0-rmse:0.11082	validation_1-rmse:0.11777
[152]	validation_0-rmse:0.11075	validation_1-rmse:0.11771
[153]	validation_0-rmse:0.11054	validation_1-rmse:0.11752
[154]	validation_0-rmse:0.11034	validation_1-rmse:0.11736
[155]	validation_0-rmse:0.11028	validation_1-rmse:0.11733
[156]	validation_0-rmse:0.11016	validation_1-rmse:0.11725
[157]	validation_0-rmse:0.11007	validation_1-rmse:0.11721
[158]	validation_0-rmse:0.10995	validation_1-rmse:0.11712
[159]	validation_0-rmse:0.10981	validation_1-rmse:0.11700
[160]	validation_0-rmse:0.10967	validation_1-rmse:0.11688
[161]	validation_0-rmse:0.10953	validation_1-rmse:0.11677
[162]	validation_0-rmse:0.10948	validation_1-rmse:0.11673
[163]	validation_0-rmse:0.10937	validation_1-rmse:0.11663
[164]	validation_0-rmse:0.10928	validation_1-rmse:0.11659
[165]	validation_0-rmse:0.10914	validation_1-rmse:0.11652
[166]	validation_0-rmse:0.10911	validation_1-rmse:0.11650
[167]	validation_0-rmse:0.10895	validation_1-rmse:0.11641
[168]	validation_0-rmse:0.10888	validation_1-rmse:0.11636
[169]	validation_0-rmse:0.10872	validation_1-rmse:0.11621
[170]	validation_0-rmse:0.10859	validation_1-rmse:0.11612
[171]	validation_0-rmse:0.10851	validation_1-rmse:0.11605
[172]	validation_0-rmse:0.10838	validation_1-rmse:0.11599
[173]	validation_0-rmse:0.10810	validation_1-rmse:0.11582
[174]	validation_0-rmse:0.10797	validation_1-rmse:0.11571
[175]	validation_0-rmse:0.10776	validation_1-rmse:0.11555
[176]	validation_0-rmse:0.10767	validation_1-rmse:0.11549
[177]	validation_0-rmse:0.10749	validation_1-rmse:0.11532
[178]	validation_0-rmse:0.10745	validation_1-rmse:0.11529
[179]	validation_0-rmse:0.10735	validation_1-rmse:0.11521
[180]	validation_0-rmse:0.10719	validation_1-rmse:0.11505
[181]	validation_0-rmse:0.10685	validation_1-rmse:0.11475
[182]	validation_0-rmse:0.10672	validation_1-rmse:0.11463
[183]	validation_0-rmse:0.10664	validation_1-rmse:0.11462
[184]	validation_0-rmse:0.10646	validation_1-rmse:0.11444
[185]	validation_0-rmse:0.10639	validation_1-rmse:0.11440
[186]	validation_0-rmse:0.10632	validation_1-rmse:0.11434
[187]	validation_0-rmse:0.10610	validation_1-rmse:0.11412
[188]	validation_0-rmse:0.10605	validation_1-rmse:0.11410
[189]	validation_0-rmse:0.10591	validation_1-rmse:0.11399
[190]	validation_0-rmse:0.10574	validation_1-rmse:0.11387
[191]	validation_0-rmse:0.10570	validation_1-rmse:0.11385
[192]	validation_0-rmse:0.10562	validation_1-rmse:0.11381
[193]	validation_0-rmse:0.10552	validation_1-rmse:0.11372
[194]	validation_0-rmse:0.10544	validation_1-rmse:0.11367
[195]	validation_0-rmse:0.10535	validation_1-rmse:0.11361
[196]	validation_0-rmse:0.10525	validation_1-rmse:0.11352
[197]	validation_0-rmse:0.10513	validation_1-rmse:0.11342
[198]	validation_0-rmse:0.10502	validation_1-rmse:0.11333
[199]	validation_0-rmse:0.10486	validation_1-rmse:0.11320
[200]	validation_0-rmse:0.10480	validation_1-rmse:0.11318
[201]	validation_0-rmse:0.10471	validation_1-rmse:0.11314
[202]	validation_0-rmse:0.10462	validation_1-rmse:0.11307
[203]	validation_0-rmse:0.10435	validation_1-rmse:0.11276
[204]	validation_0-rmse:0.10429	validation_1-rmse:0.11274
[205]	validation_0-rmse:0.10415	validation_1-rmse:0.11262
[206]	validation_0-rmse:0.10407	validation_1-rmse:0.11259
[207]	validation_0-rmse:0.10395	validation_1-rmse:0.11250
[208]	validation_0-rmse:0.10388	validation_1-rmse:0.11246
[209]	validation_0-rmse:0.10377	validation_1-rmse:0.11236
[210]	validation_0-rmse:0.10368	validation_1-rmse:0.11232
[211]	validation_0-rmse:0.10360	validation_1-rmse:0.11229
[212]	validation_0-rmse:0.10354	validation_1-rmse:0.11222
[213]	validation_0-rmse:0.10350	validation_1-rmse:0.11218
[214]	validation_0-rmse:0.10343	validation_1-rmse:0.11212
[215]	validation_0-rmse:0.10336	validation_1-rmse:0.11210
[216]	validation_0-rmse:0.10322	validation_1-rmse:0.11199
[217]	validation_0-rmse:0.10315	validation_1-rmse:0.11192
[218]	validation_0-rmse:0.10297	validation_1-rmse:0.11177
[219]	validation_0-rmse:0.10287	validation_1-rmse:0.11172
[220]	validation_0-rmse:0.10282	validation_1-rmse:0.11168
[221]	validation_0-rmse:0.10277	validation_1-rmse:0.11164
[222]	validation_0-rmse:0.10268	validation_1-rmse:0.11155
[223]	validation_0-rmse:0.10259	validation_1-rmse:0.11149
[224]	validation_0-rmse:0.10249	validation_1-rmse:0.11143
[225]	validation_0-rmse:0.10238	validation_1-rmse:0.11134
[226]	validation_0-rmse:0.10233	validation_1-rmse:0.11132
[227]	validation_0-rmse:0.10222	validation_1-rmse:0.11125
[228]	validation_0-rmse:0.10213	validation_1-rmse:0.11118
[229]	validation_0-rmse:0.10208	validation_1-rmse:0.11114
[230]	validation_0-rmse:0.10192	validation_1-rmse:0.11103
[231]	validation_0-rmse:0.10183	validation_1-rmse:0.11100
