
Feature reduction based on permutation importance ...
[134]	validation_0-rmse:95.61351	validation_1-rmse:95.61351
[135]	validation_0-rmse:95.56431	validation_1-rmse:95.56431
[136]	validation_0-rmse:95.45833	validation_1-rmse:95.45833
[137]	validation_0-rmse:95.39358	validation_1-rmse:95.39358
[138]	validation_0-rmse:95.28882	validation_1-rmse:95.28882
[139]	validation_0-rmse:95.22765	validation_1-rmse:95.22765
[140]	validation_0-rmse:95.19902	validation_1-rmse:95.19902
[141]	validation_0-rmse:94.97059	validation_1-rmse:94.97059
[142]	validation_0-rmse:94.89584	validation_1-rmse:94.89584
[143]	validation_0-rmse:94.86383	validation_1-rmse:94.86383
[144]	validation_0-rmse:94.81250	validation_1-rmse:94.81250
[145]	validation_0-rmse:94.74577	validation_1-rmse:94.74577
[146]	validation_0-rmse:94.63249	validation_1-rmse:94.63249
[147]	validation_0-rmse:94.52036	validation_1-rmse:94.52036
[148]	validation_0-rmse:94.41464	validation_1-rmse:94.41464
[149]	validation_0-rmse:94.36360	validation_1-rmse:94.36360
[150]	validation_0-rmse:94.31671	validation_1-rmse:94.31671
[151]	validation_0-rmse:94.23376	validation_1-rmse:94.23376
[152]	validation_0-rmse:94.11304	validation_1-rmse:94.11304
[153]	validation_0-rmse:94.05421	validation_1-rmse:94.05421
[154]	validation_0-rmse:93.93566	validation_1-rmse:93.93566
[155]	validation_0-rmse:93.79253	validation_1-rmse:93.79253
[156]	validation_0-rmse:93.67400	validation_1-rmse:93.67400
[157]	validation_0-rmse:93.59455	validation_1-rmse:93.59455
[158]	validation_0-rmse:93.46415	validation_1-rmse:93.46415
[159]	validation_0-rmse:93.41323	validation_1-rmse:93.41323
[160]	validation_0-rmse:93.28352	validation_1-rmse:93.28352
[161]	validation_0-rmse:93.19910	validation_1-rmse:93.19910
[162]	validation_0-rmse:92.97845	validation_1-rmse:92.97845
[163]	validation_0-rmse:92.83474	validation_1-rmse:92.83474
[164]	validation_0-rmse:92.72622	validation_1-rmse:92.72622
[165]	validation_0-rmse:92.55734	validation_1-rmse:92.55734
[166]	validation_0-rmse:92.41439	validation_1-rmse:92.41439
[167]	validation_0-rmse:92.27319	validation_1-rmse:92.27319
[168]	validation_0-rmse:92.18238	validation_1-rmse:92.18238
[169]	validation_0-rmse:92.09044	validation_1-rmse:92.09044
[170]	validation_0-rmse:92.01903	validation_1-rmse:92.01903
[171]	validation_0-rmse:91.97633	validation_1-rmse:91.97633
[172]	validation_0-rmse:91.90855	validation_1-rmse:91.90855
[173]	validation_0-rmse:91.82227	validation_1-rmse:91.82227
[174]	validation_0-rmse:91.75642	validation_1-rmse:91.75642
[175]	validation_0-rmse:91.68508	validation_1-rmse:91.68508
[176]	validation_0-rmse:91.63113	validation_1-rmse:91.63113
[177]	validation_0-rmse:91.58390	validation_1-rmse:91.58390
[178]	validation_0-rmse:91.51633	validation_1-rmse:91.51633
[179]	validation_0-rmse:91.44910	validation_1-rmse:91.44910
[180]	validation_0-rmse:91.33009	validation_1-rmse:91.33009
[181]	validation_0-rmse:91.23938	validation_1-rmse:91.23938
[182]	validation_0-rmse:91.17797	validation_1-rmse:91.17797
[183]	validation_0-rmse:91.16614	validation_1-rmse:91.16614
[184]	validation_0-rmse:91.15427	validation_1-rmse:91.15427
[185]	validation_0-rmse:91.09898	validation_1-rmse:91.09898
[186]	validation_0-rmse:91.07660	validation_1-rmse:91.07660
[187]	validation_0-rmse:90.98847	validation_1-rmse:90.98847
[188]	validation_0-rmse:90.98015	validation_1-rmse:90.98015
[189]	validation_0-rmse:90.94033	validation_1-rmse:90.94033
[190]	validation_0-rmse:90.89704	validation_1-rmse:90.89704
[191]	validation_0-rmse:90.85106	validation_1-rmse:90.85106
[192]	validation_0-rmse:90.79500	validation_1-rmse:90.79500
[193]	validation_0-rmse:90.68265	validation_1-rmse:90.68265
[194]	validation_0-rmse:90.66283	validation_1-rmse:90.66283
[195]	validation_0-rmse:90.59182	validation_1-rmse:90.59182
[196]	validation_0-rmse:90.55905	validation_1-rmse:90.55905
[197]	validation_0-rmse:90.52322	validation_1-rmse:90.52322
[198]	validation_0-rmse:90.43758	validation_1-rmse:90.43758
[199]	validation_0-rmse:90.39175	validation_1-rmse:90.39175
[200]	validation_0-rmse:90.38125	validation_1-rmse:90.38125
[201]	validation_0-rmse:90.37320	validation_1-rmse:90.37320
[202]	validation_0-rmse:90.28278	validation_1-rmse:90.28278
[203]	validation_0-rmse:90.21935	validation_1-rmse:90.21935
[204]	validation_0-rmse:90.17490	validation_1-rmse:90.17490
[205]	validation_0-rmse:90.12643	validation_1-rmse:90.12643
[206]	validation_0-rmse:90.08700	validation_1-rmse:90.08700
[207]	validation_0-rmse:90.04628	validation_1-rmse:90.04628
[208]	validation_0-rmse:89.98609	validation_1-rmse:89.98609
[209]	validation_0-rmse:89.91060	validation_1-rmse:89.91060
[210]	validation_0-rmse:89.84104	validation_1-rmse:89.84104
[211]	validation_0-rmse:89.78931	validation_1-rmse:89.78931
[212]	validation_0-rmse:89.71540	validation_1-rmse:89.71540
[213]	validation_0-rmse:89.65025	validation_1-rmse:89.65025
[214]	validation_0-rmse:89.56414	validation_1-rmse:89.56414
[215]	validation_0-rmse:89.48990	validation_1-rmse:89.48990
[216]	validation_0-rmse:89.44008	validation_1-rmse:89.44008
[217]	validation_0-rmse:89.36059	validation_1-rmse:89.36059
[218]	validation_0-rmse:89.24978	validation_1-rmse:89.24978
[219]	validation_0-rmse:89.17418	validation_1-rmse:89.17418
[220]	validation_0-rmse:89.07823	validation_1-rmse:89.07823
[221]	validation_0-rmse:88.95640	validation_1-rmse:88.95640
[222]	validation_0-rmse:88.89155	validation_1-rmse:88.89155
[223]	validation_0-rmse:88.86000	validation_1-rmse:88.86000
[224]	validation_0-rmse:88.83528	validation_1-rmse:88.83528
[225]	validation_0-rmse:88.82220	validation_1-rmse:88.82220
[226]	validation_0-rmse:88.76329	validation_1-rmse:88.76329
[227]	validation_0-rmse:88.69048	validation_1-rmse:88.69048
[228]	validation_0-rmse:88.56930	validation_1-rmse:88.56930
[229]	validation_0-rmse:88.44622	validation_1-rmse:88.44622
[230]	validation_0-rmse:88.39715	validation_1-rmse:88.39715
[231]	validation_0-rmse:88.23783	validation_1-rmse:88.23783
[232]	validation_0-rmse:88.16655	validation_1-rmse:88.16655
[233]	validation_0-rmse:88.13478	validation_1-rmse:88.13478
[234]	validation_0-rmse:88.08738	validation_1-rmse:88.08738
[235]	validation_0-rmse:88.02732	validation_1-rmse:88.02732
[236]	validation_0-rmse:88.01076	validation_1-rmse:88.01076
[237]	validation_0-rmse:87.95704	validation_1-rmse:87.95704
[238]	validation_0-rmse:87.94143	validation_1-rmse:87.94143
[239]	validation_0-rmse:87.86807	validation_1-rmse:87.86807
[240]	validation_0-rmse:87.86207	validation_1-rmse:87.86207
[241]	validation_0-rmse:87.76993	validation_1-rmse:87.76993
[242]	validation_0-rmse:87.71640	validation_1-rmse:87.71640
[243]	validation_0-rmse:87.64545	validation_1-rmse:87.64545
[244]	validation_0-rmse:87.61092	validation_1-rmse:87.61092
[245]	validation_0-rmse:87.58102	validation_1-rmse:87.58102
[246]	validation_0-rmse:87.54853	validation_1-rmse:87.54853
[247]	validation_0-rmse:87.48948	validation_1-rmse:87.48948
[248]	validation_0-rmse:87.41103	validation_1-rmse:87.41103
[249]	validation_0-rmse:87.36919	validation_1-rmse:87.36919
[250]	validation_0-rmse:87.24847	validation_1-rmse:87.24847
[251]	validation_0-rmse:87.16831	validation_1-rmse:87.16831
[252]	validation_0-rmse:87.09928	validation_1-rmse:87.09928
[253]	validation_0-rmse:86.99493	validation_1-rmse:86.99493
[254]	validation_0-rmse:86.95536	validation_1-rmse:86.95536
[255]	validation_0-rmse:86.88022	validation_1-rmse:86.88022
[256]	validation_0-rmse:86.85953	validation_1-rmse:86.85953
[257]	validation_0-rmse:86.76287	validation_1-rmse:86.76287
[258]	validation_0-rmse:86.69565	validation_1-rmse:86.69565
[259]	validation_0-rmse:86.61813	validation_1-rmse:86.61813
[260]	validation_0-rmse:86.55485	validation_1-rmse:86.55485
[261]	validation_0-rmse:86.44658	validation_1-rmse:86.44658
[262]	validation_0-rmse:86.34658	validation_1-rmse:86.34658
[263]	validation_0-rmse:86.26704	validation_1-rmse:86.26704
[264]	validation_0-rmse:86.22736	validation_1-rmse:86.22736
[265]	validation_0-rmse:86.20652	validation_1-rmse:86.20652
[266]	validation_0-rmse:86.15256	validation_1-rmse:86.15256
[267]	validation_0-rmse:86.11406	validation_1-rmse:86.11406
[268]	validation_0-rmse:86.05161	validation_1-rmse:86.05161
[269]	validation_0-rmse:86.01049	validation_1-rmse:86.01049
[270]	validation_0-rmse:85.94239	validation_1-rmse:85.94239
[271]	validation_0-rmse:85.91831	validation_1-rmse:85.91831
[272]	validation_0-rmse:85.82041	validation_1-rmse:85.82041
[273]	validation_0-rmse:85.73151	validation_1-rmse:85.73151
[274]	validation_0-rmse:85.66891	validation_1-rmse:85.66891
[275]	validation_0-rmse:85.62855	validation_1-rmse:85.62855
[276]	validation_0-rmse:85.54556	validation_1-rmse:85.54556
[277]	validation_0-rmse:85.50619	validation_1-rmse:85.50619
[278]	validation_0-rmse:85.47430	validation_1-rmse:85.47430
[279]	validation_0-rmse:85.46867	validation_1-rmse:85.46867
[280]	validation_0-rmse:85.42398	validation_1-rmse:85.42398
[281]	validation_0-rmse:85.40155	validation_1-rmse:85.40155
[282]	validation_0-rmse:85.37285	validation_1-rmse:85.37285
[283]	validation_0-rmse:85.34856	validation_1-rmse:85.34856
[284]	validation_0-rmse:85.23551	validation_1-rmse:85.23551
[285]	validation_0-rmse:85.14803	validation_1-rmse:85.14803
[286]	validation_0-rmse:85.09843	validation_1-rmse:85.09843
[287]	validation_0-rmse:85.03532	validation_1-rmse:85.03532
[288]	validation_0-rmse:84.99643	validation_1-rmse:84.99643
[289]	validation_0-rmse:84.93457	validation_1-rmse:84.93457
[290]	validation_0-rmse:84.89305	validation_1-rmse:84.89305
[291]	validation_0-rmse:84.84510	validation_1-rmse:84.84510
[292]	validation_0-rmse:84.77564	validation_1-rmse:84.77564
[293]	validation_0-rmse:84.75107	validation_1-rmse:84.75107
[294]	validation_0-rmse:84.69463	validation_1-rmse:84.69463
[295]	validation_0-rmse:84.56724	validation_1-rmse:84.56724
[296]	validation_0-rmse:84.52360	validation_1-rmse:84.52360
[297]	validation_0-rmse:84.48400	validation_1-rmse:84.48400
[298]	validation_0-rmse:84.46705	validation_1-rmse:84.46705
[299]	validation_0-rmse:84.41891	validation_1-rmse:84.41891
[300]	validation_0-rmse:84.35134	validation_1-rmse:84.35134
[301]	validation_0-rmse:84.29586	validation_1-rmse:84.29586
[302]	validation_0-rmse:84.23942	validation_1-rmse:84.23942
[303]	validation_0-rmse:84.14724	validation_1-rmse:84.14724
[304]	validation_0-rmse:84.10883	validation_1-rmse:84.10883
