
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:15:00 ...
>>> Fitting model to training data ...
[156]	validation_0-rmse:2.28856	validation_1-rmse:2.36002
[157]	validation_0-rmse:2.28230	validation_1-rmse:2.35421
[158]	validation_0-rmse:2.27653	validation_1-rmse:2.34892
[159]	validation_0-rmse:2.27485	validation_1-rmse:2.34747
[160]	validation_0-rmse:2.27194	validation_1-rmse:2.34456
[161]	validation_0-rmse:2.27058	validation_1-rmse:2.34349
[162]	validation_0-rmse:2.26671	validation_1-rmse:2.33994
[163]	validation_0-rmse:2.26320	validation_1-rmse:2.33634
[164]	validation_0-rmse:2.26121	validation_1-rmse:2.33466
[165]	validation_0-rmse:2.25754	validation_1-rmse:2.33107
[166]	validation_0-rmse:2.25473	validation_1-rmse:2.32867
[167]	validation_0-rmse:2.25081	validation_1-rmse:2.32480
[168]	validation_0-rmse:2.24715	validation_1-rmse:2.32046
[169]	validation_0-rmse:2.24563	validation_1-rmse:2.31941
[170]	validation_0-rmse:2.24294	validation_1-rmse:2.31707
[171]	validation_0-rmse:2.24137	validation_1-rmse:2.31584
[172]	validation_0-rmse:2.23863	validation_1-rmse:2.31339
[173]	validation_0-rmse:2.23574	validation_1-rmse:2.31078
[174]	validation_0-rmse:2.23407	validation_1-rmse:2.30936
[175]	validation_0-rmse:2.23182	validation_1-rmse:2.30715
[176]	validation_0-rmse:2.22869	validation_1-rmse:2.30412
[177]	validation_0-rmse:2.22790	validation_1-rmse:2.30368
[178]	validation_0-rmse:2.22707	validation_1-rmse:2.30315
[179]	validation_0-rmse:2.22553	validation_1-rmse:2.30196
[180]	validation_0-rmse:2.22028	validation_1-rmse:2.29729
[181]	validation_0-rmse:2.21760	validation_1-rmse:2.29437
[182]	validation_0-rmse:2.21390	validation_1-rmse:2.29050
[183]	validation_0-rmse:2.21183	validation_1-rmse:2.28839
[184]	validation_0-rmse:2.20969	validation_1-rmse:2.28628
[185]	validation_0-rmse:2.20692	validation_1-rmse:2.28374
[186]	validation_0-rmse:2.20286	validation_1-rmse:2.27984
[187]	validation_0-rmse:2.20146	validation_1-rmse:2.27864
[188]	validation_0-rmse:2.20098	validation_1-rmse:2.27841
[189]	validation_0-rmse:2.19893	validation_1-rmse:2.27658
[190]	validation_0-rmse:2.19706	validation_1-rmse:2.27474
[191]	validation_0-rmse:2.19433	validation_1-rmse:2.27226
[192]	validation_0-rmse:2.19196	validation_1-rmse:2.27026
[193]	validation_0-rmse:2.19016	validation_1-rmse:2.26892
[194]	validation_0-rmse:2.18686	validation_1-rmse:2.26536
[195]	validation_0-rmse:2.18644	validation_1-rmse:2.26521
[196]	validation_0-rmse:2.18523	validation_1-rmse:2.26415
[197]	validation_0-rmse:2.18335	validation_1-rmse:2.26257
[198]	validation_0-rmse:2.18240	validation_1-rmse:2.26177
[199]	validation_0-rmse:2.17867	validation_1-rmse:2.25862
[200]	validation_0-rmse:2.17663	validation_1-rmse:2.25699
[201]	validation_0-rmse:2.17391	validation_1-rmse:2.25431
[202]	validation_0-rmse:2.17168	validation_1-rmse:2.25226
[203]	validation_0-rmse:2.16921	validation_1-rmse:2.24971
[204]	validation_0-rmse:2.16652	validation_1-rmse:2.24708
[205]	validation_0-rmse:2.16289	validation_1-rmse:2.24387
[206]	validation_0-rmse:2.15984	validation_1-rmse:2.24127
[207]	validation_0-rmse:2.15888	validation_1-rmse:2.24087
[208]	validation_0-rmse:2.15765	validation_1-rmse:2.24002
[209]	validation_0-rmse:2.15673	validation_1-rmse:2.23915
[210]	validation_0-rmse:2.15573	validation_1-rmse:2.23835
[211]	validation_0-rmse:2.15466	validation_1-rmse:2.23754
[212]	validation_0-rmse:2.15311	validation_1-rmse:2.23634
[213]	validation_0-rmse:2.15000	validation_1-rmse:2.23325
[214]	validation_0-rmse:2.14874	validation_1-rmse:2.23217
[215]	validation_0-rmse:2.14576	validation_1-rmse:2.22938
[216]	validation_0-rmse:2.14436	validation_1-rmse:2.22816
[217]	validation_0-rmse:2.14282	validation_1-rmse:2.22716
[218]	validation_0-rmse:2.14086	validation_1-rmse:2.22524
[219]	validation_0-rmse:2.13857	validation_1-rmse:2.22302
[220]	validation_0-rmse:2.13642	validation_1-rmse:2.22134
[221]	validation_0-rmse:2.13318	validation_1-rmse:2.21836
[222]	validation_0-rmse:2.13105	validation_1-rmse:2.21658
