
Training final model ...
>>> Training model <class 'xgboost.sklearn.XGBRegressor'> based on data between 2005-01-01 00:45:00 and 2024-12-31 23:45:00 ...
>>> Fitting model to training data ...
[162]	validation_0-rmse:93.76371	validation_1-rmse:98.74502
[163]	validation_0-rmse:93.68814	validation_1-rmse:98.70195
[164]	validation_0-rmse:93.59225	validation_1-rmse:98.61775
[165]	validation_0-rmse:93.54072	validation_1-rmse:98.58556
[166]	validation_0-rmse:93.44966	validation_1-rmse:98.50449
[167]	validation_0-rmse:93.37684	validation_1-rmse:98.44449
[168]	validation_0-rmse:93.32845	validation_1-rmse:98.41916
[169]	validation_0-rmse:93.25388	validation_1-rmse:98.34782
[170]	validation_0-rmse:93.21427	validation_1-rmse:98.34436
[171]	validation_0-rmse:93.14787	validation_1-rmse:98.28669
[172]	validation_0-rmse:93.09246	validation_1-rmse:98.25060
[173]	validation_0-rmse:93.04668	validation_1-rmse:98.21369
[174]	validation_0-rmse:92.99656	validation_1-rmse:98.17966
[175]	validation_0-rmse:92.94656	validation_1-rmse:98.14663
[176]	validation_0-rmse:92.83418	validation_1-rmse:98.05076
[177]	validation_0-rmse:92.71685	validation_1-rmse:97.95888
[178]	validation_0-rmse:92.68798	validation_1-rmse:97.93735
[179]	validation_0-rmse:92.66812	validation_1-rmse:97.92628
[180]	validation_0-rmse:92.62737	validation_1-rmse:97.90451
[181]	validation_0-rmse:92.60867	validation_1-rmse:97.88806
[182]	validation_0-rmse:92.58568	validation_1-rmse:97.87479
[183]	validation_0-rmse:92.48689	validation_1-rmse:97.78928
[184]	validation_0-rmse:92.47528	validation_1-rmse:97.78444
[185]	validation_0-rmse:92.43318	validation_1-rmse:97.78404
[186]	validation_0-rmse:92.31065	validation_1-rmse:97.69502
[187]	validation_0-rmse:92.18737	validation_1-rmse:97.58763
[188]	validation_0-rmse:92.07679	validation_1-rmse:97.51765
[189]	validation_0-rmse:91.98435	validation_1-rmse:97.42226
[190]	validation_0-rmse:91.86090	validation_1-rmse:97.32178
[191]	validation_0-rmse:91.81041	validation_1-rmse:97.31414
[192]	validation_0-rmse:91.73271	validation_1-rmse:97.27655
[193]	validation_0-rmse:91.61064	validation_1-rmse:97.21178
[194]	validation_0-rmse:91.57581	validation_1-rmse:97.21436
[195]	validation_0-rmse:91.45429	validation_1-rmse:97.10830
[196]	validation_0-rmse:91.41346	validation_1-rmse:97.09001
[197]	validation_0-rmse:91.29875	validation_1-rmse:97.01263
[198]	validation_0-rmse:91.28984	validation_1-rmse:97.00830
[199]	validation_0-rmse:91.18882	validation_1-rmse:96.91603
[200]	validation_0-rmse:91.10528	validation_1-rmse:96.86620
[201]	validation_0-rmse:91.04865	validation_1-rmse:96.83571
[202]	validation_0-rmse:90.96182	validation_1-rmse:96.75971
[203]	validation_0-rmse:90.90567	validation_1-rmse:96.71647
[204]	validation_0-rmse:90.83762	validation_1-rmse:96.64879
[205]	validation_0-rmse:90.79659	validation_1-rmse:96.66217
[206]	validation_0-rmse:90.74986	validation_1-rmse:96.64755
[207]	validation_0-rmse:90.66278	validation_1-rmse:96.58187
[208]	validation_0-rmse:90.62998	validation_1-rmse:96.55465
[209]	validation_0-rmse:90.51527	validation_1-rmse:96.46841
[210]	validation_0-rmse:90.46872	validation_1-rmse:96.46704
[211]	validation_0-rmse:90.41367	validation_1-rmse:96.44090
[212]	validation_0-rmse:90.37765	validation_1-rmse:96.42922
[213]	validation_0-rmse:90.32443	validation_1-rmse:96.40890
[214]	validation_0-rmse:90.29537	validation_1-rmse:96.40002
[215]	validation_0-rmse:90.20870	validation_1-rmse:96.32057
[216]	validation_0-rmse:90.11847	validation_1-rmse:96.28767
[217]	validation_0-rmse:90.06400	validation_1-rmse:96.21624
[218]	validation_0-rmse:90.02515	validation_1-rmse:96.21284
[219]	validation_0-rmse:89.91219	validation_1-rmse:96.13442
[220]	validation_0-rmse:89.79809	validation_1-rmse:96.05171
[221]	validation_0-rmse:89.73461	validation_1-rmse:96.01500
[222]	validation_0-rmse:89.68798	validation_1-rmse:95.99812
[223]	validation_0-rmse:89.63681	validation_1-rmse:95.99863
[224]	validation_0-rmse:89.60260	validation_1-rmse:95.99986
[225]	validation_0-rmse:89.54895	validation_1-rmse:95.98271
[226]	validation_0-rmse:89.48507	validation_1-rmse:95.95722
[227]	validation_0-rmse:89.44950	validation_1-rmse:95.94174
[228]	validation_0-rmse:89.37029	validation_1-rmse:95.88946
[229]	validation_0-rmse:89.31223	validation_1-rmse:95.85753
[230]	validation_0-rmse:89.23853	validation_1-rmse:95.79594
[231]	validation_0-rmse:89.21752	validation_1-rmse:95.78113
[232]	validation_0-rmse:89.15346	validation_1-rmse:95.75345
[233]	validation_0-rmse:89.09483	validation_1-rmse:95.70171
[234]	validation_0-rmse:89.05686	validation_1-rmse:95.69280
[235]	validation_0-rmse:89.00185	validation_1-rmse:95.69258
[236]	validation_0-rmse:88.88771	validation_1-rmse:95.58904
[237]	validation_0-rmse:88.85102	validation_1-rmse:95.56736
[238]	validation_0-rmse:88.81759	validation_1-rmse:95.55953
[239]	validation_0-rmse:88.72077	validation_1-rmse:95.50285
[240]	validation_0-rmse:88.68437	validation_1-rmse:95.48494
[241]	validation_0-rmse:88.65621	validation_1-rmse:95.47185
[242]	validation_0-rmse:88.63162	validation_1-rmse:95.45714
[243]	validation_0-rmse:88.56481	validation_1-rmse:95.42344
[244]	validation_0-rmse:88.52236	validation_1-rmse:95.40537
[245]	validation_0-rmse:88.46667	validation_1-rmse:95.38015
[246]	validation_0-rmse:88.41209	validation_1-rmse:95.32082
[247]	validation_0-rmse:88.29744	validation_1-rmse:95.26059
[248]	validation_0-rmse:88.25698	validation_1-rmse:95.27592
[249]	validation_0-rmse:88.21383	validation_1-rmse:95.27360
[250]	validation_0-rmse:88.16735	validation_1-rmse:95.25344
[251]	validation_0-rmse:88.10341	validation_1-rmse:95.21310
[252]	validation_0-rmse:88.03153	validation_1-rmse:95.16728
[253]	validation_0-rmse:87.96668	validation_1-rmse:95.13962
[254]	validation_0-rmse:87.90452	validation_1-rmse:95.07997
[255]	validation_0-rmse:87.86879	validation_1-rmse:95.08286
[256]	validation_0-rmse:87.79709	validation_1-rmse:95.02726
[257]	validation_0-rmse:87.73813	validation_1-rmse:94.98301
[258]	validation_0-rmse:87.69616	validation_1-rmse:94.96609
[259]	validation_0-rmse:87.66161	validation_1-rmse:94.97481
[260]	validation_0-rmse:87.62651	validation_1-rmse:94.94783
[261]	validation_0-rmse:87.57866	validation_1-rmse:94.92121
[262]	validation_0-rmse:87.53949	validation_1-rmse:94.89732
[263]	validation_0-rmse:87.49597	validation_1-rmse:94.90369
[264]	validation_0-rmse:87.45584	validation_1-rmse:94.86511
[265]	validation_0-rmse:87.43558	validation_1-rmse:94.85934
[266]	validation_0-rmse:87.41807	validation_1-rmse:94.84840
[267]	validation_0-rmse:87.41181	validation_1-rmse:94.84725
[268]	validation_0-rmse:87.40124	validation_1-rmse:94.84166
[269]	validation_0-rmse:87.35337	validation_1-rmse:94.80899
[270]	validation_0-rmse:87.30997	validation_1-rmse:94.77132
[271]	validation_0-rmse:87.28557	validation_1-rmse:94.75883
[272]	validation_0-rmse:87.22776	validation_1-rmse:94.72388
[273]	validation_0-rmse:87.14098	validation_1-rmse:94.64671
[274]	validation_0-rmse:87.12717	validation_1-rmse:94.64138
[275]	validation_0-rmse:87.07035	validation_1-rmse:94.62337
[276]	validation_0-rmse:87.04116	validation_1-rmse:94.63067
[277]	validation_0-rmse:87.01126	validation_1-rmse:94.63627
[278]	validation_0-rmse:86.97469	validation_1-rmse:94.59603
[279]	validation_0-rmse:86.91782	validation_1-rmse:94.55867
[280]	validation_0-rmse:86.89094	validation_1-rmse:94.56250
[281]	validation_0-rmse:86.83891	validation_1-rmse:94.53220
[282]	validation_0-rmse:86.80909	validation_1-rmse:94.52959
[283]	validation_0-rmse:86.78484	validation_1-rmse:94.52076
[284]	validation_0-rmse:86.75268	validation_1-rmse:94.51041
