
Feature reduction based on permutation importance ...
[230]	validation_0-rmse:2.11456	validation_1-rmse:2.11456
[231]	validation_0-rmse:2.11124	validation_1-rmse:2.11124
[232]	validation_0-rmse:2.10964	validation_1-rmse:2.10964
[233]	validation_0-rmse:2.10680	validation_1-rmse:2.10680
[234]	validation_0-rmse:2.10451	validation_1-rmse:2.10451
[235]	validation_0-rmse:2.10369	validation_1-rmse:2.10369
[236]	validation_0-rmse:2.10346	validation_1-rmse:2.10346
[237]	validation_0-rmse:2.10034	validation_1-rmse:2.10034
[238]	validation_0-rmse:2.09835	validation_1-rmse:2.09835
[239]	validation_0-rmse:2.09557	validation_1-rmse:2.09557
[240]	validation_0-rmse:2.09481	validation_1-rmse:2.09481
[241]	validation_0-rmse:2.09299	validation_1-rmse:2.09299
[242]	validation_0-rmse:2.09095	validation_1-rmse:2.09095
[243]	validation_0-rmse:2.08888	validation_1-rmse:2.08888
[244]	validation_0-rmse:2.08803	validation_1-rmse:2.08803
[245]	validation_0-rmse:2.08739	validation_1-rmse:2.08739
[246]	validation_0-rmse:2.08515	validation_1-rmse:2.08515
[247]	validation_0-rmse:2.08259	validation_1-rmse:2.08259
[248]	validation_0-rmse:2.07931	validation_1-rmse:2.07931
[249]	validation_0-rmse:2.07738	validation_1-rmse:2.07738
[250]	validation_0-rmse:2.07526	validation_1-rmse:2.07526
[251]	validation_0-rmse:2.07315	validation_1-rmse:2.07315
[252]	validation_0-rmse:2.07211	validation_1-rmse:2.07211
[253]	validation_0-rmse:2.07097	validation_1-rmse:2.07097
[254]	validation_0-rmse:2.06888	validation_1-rmse:2.06888
[255]	validation_0-rmse:2.06655	validation_1-rmse:2.06655
[256]	validation_0-rmse:2.06328	validation_1-rmse:2.06328
[257]	validation_0-rmse:2.06233	validation_1-rmse:2.06233
[258]	validation_0-rmse:2.06113	validation_1-rmse:2.06113
[259]	validation_0-rmse:2.06064	validation_1-rmse:2.06064
[260]	validation_0-rmse:2.05752	validation_1-rmse:2.05752
[261]	validation_0-rmse:2.05683	validation_1-rmse:2.05683
[262]	validation_0-rmse:2.05561	validation_1-rmse:2.05561
[263]	validation_0-rmse:2.05321	validation_1-rmse:2.05321
[264]	validation_0-rmse:2.05237	validation_1-rmse:2.05237
[265]	validation_0-rmse:2.05166	validation_1-rmse:2.05166
[266]	validation_0-rmse:2.05130	validation_1-rmse:2.05130
