
Feature reduction based on permutation importance ...
[186]	validation_0-rmse:16.74242	validation_1-rmse:16.74242
[187]	validation_0-rmse:16.72845	validation_1-rmse:16.72845
[188]	validation_0-rmse:16.68735	validation_1-rmse:16.68735
[189]	validation_0-rmse:16.63743	validation_1-rmse:16.63743
[190]	validation_0-rmse:16.63505	validation_1-rmse:16.63505
[191]	validation_0-rmse:16.63088	validation_1-rmse:16.63088
[192]	validation_0-rmse:16.62448	validation_1-rmse:16.62448
[193]	validation_0-rmse:16.60762	validation_1-rmse:16.60762
[194]	validation_0-rmse:16.59288	validation_1-rmse:16.59288
[195]	validation_0-rmse:16.56429	validation_1-rmse:16.56429
[196]	validation_0-rmse:16.54772	validation_1-rmse:16.54772
[197]	validation_0-rmse:16.48664	validation_1-rmse:16.48664
[198]	validation_0-rmse:16.47057	validation_1-rmse:16.47057
[199]	validation_0-rmse:16.46075	validation_1-rmse:16.46075
[200]	validation_0-rmse:16.44295	validation_1-rmse:16.44295
[201]	validation_0-rmse:16.43760	validation_1-rmse:16.43760
[202]	validation_0-rmse:16.38772	validation_1-rmse:16.38772
[203]	validation_0-rmse:16.37879	validation_1-rmse:16.37879
[204]	validation_0-rmse:16.36946	validation_1-rmse:16.36946
[205]	validation_0-rmse:16.36150	validation_1-rmse:16.36150
[206]	validation_0-rmse:16.33134	validation_1-rmse:16.33134
[207]	validation_0-rmse:16.26498	validation_1-rmse:16.26498
[208]	validation_0-rmse:16.25646	validation_1-rmse:16.25646
[209]	validation_0-rmse:16.23185	validation_1-rmse:16.23185
[210]	validation_0-rmse:16.22273	validation_1-rmse:16.22273
[211]	validation_0-rmse:16.20715	validation_1-rmse:16.20715
[212]	validation_0-rmse:16.17504	validation_1-rmse:16.17504
[213]	validation_0-rmse:16.15121	validation_1-rmse:16.15121
[214]	validation_0-rmse:16.08250	validation_1-rmse:16.08250
[215]	validation_0-rmse:16.07213	validation_1-rmse:16.07213
[216]	validation_0-rmse:16.04159	validation_1-rmse:16.04159
[217]	validation_0-rmse:16.01847	validation_1-rmse:16.01847
[218]	validation_0-rmse:16.00331	validation_1-rmse:16.00331
[219]	validation_0-rmse:15.99785	validation_1-rmse:15.99785
[220]	validation_0-rmse:15.98435	validation_1-rmse:15.98435
[221]	validation_0-rmse:15.97209	validation_1-rmse:15.97209
[222]	validation_0-rmse:15.94593	validation_1-rmse:15.94593
[223]	validation_0-rmse:15.94246	validation_1-rmse:15.94246
[224]	validation_0-rmse:15.92297	validation_1-rmse:15.92297
[225]	validation_0-rmse:15.90358	validation_1-rmse:15.90358
[226]	validation_0-rmse:15.85613	validation_1-rmse:15.85613
[227]	validation_0-rmse:15.84409	validation_1-rmse:15.84409
[228]	validation_0-rmse:15.81660	validation_1-rmse:15.81660
[229]	validation_0-rmse:15.79060	validation_1-rmse:15.79060
[230]	validation_0-rmse:15.77386	validation_1-rmse:15.77386
[231]	validation_0-rmse:15.73101	validation_1-rmse:15.73101
[232]	validation_0-rmse:15.67614	validation_1-rmse:15.67614
[233]	validation_0-rmse:15.65280	validation_1-rmse:15.65280
[234]	validation_0-rmse:15.60750	validation_1-rmse:15.60750
[235]	validation_0-rmse:15.58784	validation_1-rmse:15.58784
[236]	validation_0-rmse:15.57975	validation_1-rmse:15.57975
[237]	validation_0-rmse:15.56212	validation_1-rmse:15.56212
[238]	validation_0-rmse:15.55329	validation_1-rmse:15.55329
[239]	validation_0-rmse:15.54589	validation_1-rmse:15.54589
[240]	validation_0-rmse:15.51376	validation_1-rmse:15.51376
[241]	validation_0-rmse:15.48625	validation_1-rmse:15.48625
[242]	validation_0-rmse:15.47825	validation_1-rmse:15.47825
[243]	validation_0-rmse:15.46466	validation_1-rmse:15.46466
[244]	validation_0-rmse:15.45417	validation_1-rmse:15.45417
[245]	validation_0-rmse:15.44485	validation_1-rmse:15.44485
[246]	validation_0-rmse:15.40141	validation_1-rmse:15.40141
[247]	validation_0-rmse:15.37300	validation_1-rmse:15.37300
[248]	validation_0-rmse:15.36761	validation_1-rmse:15.36761
[249]	validation_0-rmse:15.35279	validation_1-rmse:15.35279
[250]	validation_0-rmse:15.33077	validation_1-rmse:15.33077
[251]	validation_0-rmse:15.31142	validation_1-rmse:15.31142
[252]	validation_0-rmse:15.30614	validation_1-rmse:15.30614
[253]	validation_0-rmse:15.30064	validation_1-rmse:15.30064
[254]	validation_0-rmse:15.26568	validation_1-rmse:15.26568
[255]	validation_0-rmse:15.25032	validation_1-rmse:15.25032
[256]	validation_0-rmse:15.24577	validation_1-rmse:15.24577
[257]	validation_0-rmse:15.23011	validation_1-rmse:15.23011
[258]	validation_0-rmse:15.20951	validation_1-rmse:15.20951
[259]	validation_0-rmse:15.20054	validation_1-rmse:15.20054
[260]	validation_0-rmse:15.19072	validation_1-rmse:15.19072
[261]	validation_0-rmse:15.13569	validation_1-rmse:15.13569
[262]	validation_0-rmse:15.11711	validation_1-rmse:15.11711
[263]	validation_0-rmse:15.06884	validation_1-rmse:15.06884
[264]	validation_0-rmse:15.03524	validation_1-rmse:15.03524
[265]	validation_0-rmse:15.01291	validation_1-rmse:15.01291
[266]	validation_0-rmse:15.00077	validation_1-rmse:15.00077
[267]	validation_0-rmse:14.98962	validation_1-rmse:14.98962
[268]	validation_0-rmse:14.97355	validation_1-rmse:14.97355
[269]	validation_0-rmse:14.96501	validation_1-rmse:14.96501
[270]	validation_0-rmse:14.96029	validation_1-rmse:14.96029
[271]	validation_0-rmse:14.91142	validation_1-rmse:14.91142
[272]	validation_0-rmse:14.88293	validation_1-rmse:14.88293
[273]	validation_0-rmse:14.87535	validation_1-rmse:14.87535
[274]	validation_0-rmse:14.84565	validation_1-rmse:14.84565
[275]	validation_0-rmse:14.82566	validation_1-rmse:14.82566
[276]	validation_0-rmse:14.82179	validation_1-rmse:14.82179
[277]	validation_0-rmse:14.79794	validation_1-rmse:14.79794
[278]	validation_0-rmse:14.78650	validation_1-rmse:14.78650
[279]	validation_0-rmse:14.78067	validation_1-rmse:14.78067
[280]	validation_0-rmse:14.76908	validation_1-rmse:14.76908
[281]	validation_0-rmse:14.75735	validation_1-rmse:14.75735
[282]	validation_0-rmse:14.73480	validation_1-rmse:14.73480
[283]	validation_0-rmse:14.72654	validation_1-rmse:14.72654
[284]	validation_0-rmse:14.70083	validation_1-rmse:14.70083
[285]	validation_0-rmse:14.69235	validation_1-rmse:14.69235
[286]	validation_0-rmse:14.68636	validation_1-rmse:14.68636
[287]	validation_0-rmse:14.67202	validation_1-rmse:14.67202
[288]	validation_0-rmse:14.65167	validation_1-rmse:14.65167
[289]	validation_0-rmse:14.64580	validation_1-rmse:14.64580
[290]	validation_0-rmse:14.56813	validation_1-rmse:14.56813
[291]	validation_0-rmse:14.55546	validation_1-rmse:14.55546
[292]	validation_0-rmse:14.53946	validation_1-rmse:14.53946
[293]	validation_0-rmse:14.53549	validation_1-rmse:14.53549
[294]	validation_0-rmse:14.50164	validation_1-rmse:14.50164
[295]	validation_0-rmse:14.47134	validation_1-rmse:14.47134
[296]	validation_0-rmse:14.41599	validation_1-rmse:14.41599
[297]	validation_0-rmse:14.38045	validation_1-rmse:14.38045
[298]	validation_0-rmse:14.37039	validation_1-rmse:14.37039
[299]	validation_0-rmse:14.35422	validation_1-rmse:14.35422
[300]	validation_0-rmse:14.34813	validation_1-rmse:14.34813
[301]	validation_0-rmse:14.34039	validation_1-rmse:14.34039
[302]	validation_0-rmse:14.32881	validation_1-rmse:14.32881
[303]	validation_0-rmse:14.32334	validation_1-rmse:14.32334
[304]	validation_0-rmse:14.32069	validation_1-rmse:14.32069
[305]	validation_0-rmse:14.31346	validation_1-rmse:14.31346
